[600] 03 May 21:14:32 # Warning: no config file specified, using the default config. In order to specify a config file use 'redis-server /path/to/redis.conf'
[600] 03 May 21:25:15 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:25:20 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:25:25 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:25:30 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:25:35 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:25:40 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:25:45 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:25:50 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:25:55 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:26:00 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:26:05 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:26:10 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:26:15 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:26:15 - Closing idle client
[600] 03 May 21:26:15 - Accepted 127.0.0.1:49359
[600] 03 May 21:26:20 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:26:25 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:26:30 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:26:35 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:26:40 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:26:45 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:26:50 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:26:55 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:27:00 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:27:05 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:27:11 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:27:16 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:27:21 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:27:26 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:27:31 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:27:36 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:27:41 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:27:46 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:27:51 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:27:56 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:28:01 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:28:06 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:28:11 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:28:16 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:28:21 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:28:26 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:28:31 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:28:36 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:28:41 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:28:46 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:28:51 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:28:56 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:29:01 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:29:06 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:29:11 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:29:16 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:29:21 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:29:26 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:29:27 - Client closed connection
[600] 03 May 21:29:28 - Accepted 127.0.0.1:49372
[600] 03 May 21:29:31 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:29:36 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:29:41 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:29:46 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:29:51 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:29:56 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:30:01 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:30:06 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:30:11 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:30:16 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:30:22 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:30:27 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:30:32 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:30:37 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:30:42 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:30:47 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:30:52 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:30:57 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:31:02 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:31:07 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:31:12 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:31:17 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:31:22 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:31:27 - 1 clients connected (0 slaves), 417040 bytes in use
